Культура,Територіальний розріз,2019,2020,2021,2022,2023,Crop,SCOR,Region
Пшениця,Вінницька,0.2709,0.2852,0.2566,0.3118,0.2967,Пшениця,0.28424,Vinnytska oblast
Пшениця,Волинська,0.2013,0.2188,0.2286,0.2445,0.211,Пшениця,0.22084,Volynska oblast
Пшениця,Дніпропетровська,0.284,0.3,0.3019,0.3139,0.258,Пшениця,0.29156,Dnipropetrovska oblast
Пшениця,Донецька,0.2896,0.2773,0.2926,0.1791,0.1105,Пшениця,0.22982,Donetska oblast
Пшениця,Житомирська,0.1909,0.2072,0.2019,0.2189,0.1667,Пшениця,0.19712,Zhytomyrska oblast
Пшениця,Закарпатська,0.0184,0.0146,0.0109,0.0327,0.0,Пшениця,0.01532,Zakarpatska oblast
Пшениця,Запорізька,0.2908,0.2988,0.3026,0.1939,0.1282,Пшениця,0.24286000000000002,Zaporizka oblast
Пшениця,Івано-Франківська,0.1252,0.1446,0.1071,0.1416,0.1125,Пшениця,0.1262,Ivano-Frankivska oblast
Пшениця,Київська,0.216,0.2136,0.2282,0.2352,0.2259,Пшениця,0.22378,Kyivska oblast
Пшениця,Кіровоградська,0.2464,0.2773,0.2748,0.271,0.2523,Пшениця,0.26436000000000004,Kirovohradska oblast
Пшениця,Луганська,0.2545,0.2552,0.2568,0.0224,,Пшениця,0.19722499999999998,Luhanska oblast
Пшениця,Львівська,0.1803,0.2128,0.1952,0.2284,0.2069,Пшениця,0.20472,Lvivska oblast
Пшениця,Миколаївська,0.2672,0.2838,0.3057,0.2821,0.2389,Пшениця,0.27554,Mykolaivska oblast
Пшениця,Одеська,0.3021,0.2974,0.2868,0.294,0.259,Пшениця,0.28785999999999995,Odeska oblast
Пшениця,Полтавська,0.2083,0.2211,0.2254,0.2368,0.2018,Пшениця,0.21868000000000004,Poltavska oblast
Пшениця,Рівненська,0.1766,0.1855,0.1647,0.162,0.1503,Пшениця,0.16782,Rivnenska oblast
Пшениця,Сумська,0.2289,0.2339,0.2225,0.2605,0.2397,Пшениця,0.2371,Sumska oblast
Пшениця,Тернопільська,0.2547,0.2532,0.233,0.2761,0.2662,Пшениця,0.25664,Ternopilska oblast
Пшениця,Харківська,0.2897,0.3016,0.3038,0.2552,0.1978,Пшениця,0.26962,Kharkivska oblast
Пшениця,Херсонська,0.2318,0.2736,0.2507,0.0943,0.0072,Пшениця,0.17152,Khersonska oblast
Пшениця,Хмельницька,0.2513,0.2552,0.2378,0.2696,0.261,Пшениця,0.25498000000000004,Khmelnytska oblast
Пшениця,Черкаська,0.2149,0.2094,0.2225,0.2657,0.2229,Пшениця,0.22708000000000003,Cherkaska oblast
Пшениця,Чернівецька,0.0814,0.0955,0.0796,0.0988,0.0855,Пшениця,0.08816,Chernivetska oblast
Пшениця,Чернігівська,0.2334,0.2316,0.2444,0.231,0.2421,Пшениця,0.23650000000000002,Chernihivska oblast
Пшениця,Вінницька,1.0,1.0,0.9695,1.0,0.9992,Пшениця,0.9937400000000001,Vinnytska oblast
Пшениця,Волинська,0.9335,0.9363,0.9246,0.9484,0.9356,Пшениця,0.93568,Volynska oblast
Пшениця,Дніпропетровська,0.9848,0.9904,0.9858,0.9976,0.9879,Пшениця,0.9893000000000001,Dnipropetrovska oblast
Пшениця,Донецька,0.9527,0.9503,0.9579,0.8604,0.8418,Пшениця,0.9126200000000001,Donetska oblast
Пшениця,Житомирська,0.9329,0.9417,0.9083,0.9217,0.917,Пшениця,0.92432,Zhytomyrska oblast
Пшениця,Закарпатська,0.6262,0.6354,0.6094,0.6648,0.5748,Пшениця,0.62212,Zakarpatska oblast
Пшениця,Запорізька,0.9831,0.99,1.0,0.8742,0.836,Пшениця,0.93666,Zaporizka oblast
Пшениця,Івано-Франківська,0.8798,0.8675,0.8356,0.8614,0.8491,Пшениця,0.85868,Ivano-Frankivska oblast
Пшениця,Київська,0.9569,0.9512,0.9525,0.9532,0.9594,Пшениця,0.9546400000000002,Kyivska oblast
Пшениця,Кіровоградська,0.9663,0.9667,0.9606,0.9872,0.9923,Пшениця,0.97462,Kirovohradska oblast
Пшениця,Луганська,0.9216,0.9384,0.9195,0.5546,,Пшениця,0.8335249999999998,Luhanska oblast
Пшениця,Львівська,0.9463,0.9445,0.9034,0.9207,0.924,Пшениця,0.92778,Lvivska oblast
Пшениця,Миколаївська,0.9628,0.956,0.9513,0.9595,0.9533,Пшениця,0.95658,Mykolaivska oblast
Пшениця,Одеська,0.9767,0.9635,0.9814,0.9942,1.0,Пшениця,0.98316,Odeska oblast
Пшениця,Полтавська,0.9227,0.9257,0.9221,0.9604,0.9565,Пшениця,0.9374799999999999,Poltavska oblast
Пшениця,Рівненська,0.8958,0.8921,0.8931,0.9166,0.8822,Пшениця,0.89596,Rivnenska oblast
Пшениця,Сумська,0.9464,0.9408,0.9296,0.9516,0.943,Пшениця,0.9422799999999999,Sumska oblast
Пшениця,Тернопільська,0.9782,0.9582,0.9333,0.9739,0.9753,Пшениця,0.9637800000000001,Ternopilska oblast
Пшениця,Харківська,0.9968,0.9992,0.9849,0.9651,0.9371,Пшениця,0.9766200000000002,Kharkivska oblast
Пшениця,Херсонська,0.9564,0.9618,0.9661,0.7335,0.6678,Пшениця,0.8571199999999999,Khersonska oblast
Пшениця,Хмельницька,0.9966,0.9742,0.9505,0.992,0.9915,Пшениця,0.9809599999999999,Khmelnytska oblast
Пшениця,Черкаська,0.9461,0.9421,0.9372,0.9627,0.9556,Пшениця,0.9487400000000001,Cherkaska oblast
Пшениця,Чернівецька,0.847,0.8043,0.7874,0.8192,0.7974,Пшениця,0.81106,Chernivetska oblast
Пшениця,Чернігівська,0.9467,0.937,0.9517,0.9423,0.9761,Пшениця,0.95076,Chernihivska oblast
Пшениця,Вінницька,0.3847,0.4055,0.3766,0.4326,0.4229,Пшениця,0.40446,Vinnytska oblast
Пшениця,Волинська,0.4103,0.4296,0.4401,0.458,0.4401,Пшениця,0.43562,Volynska oblast
Пшениця,Дніпропетровська,0.3581,0.381,0.3735,0.3909,0.3606,Пшениця,0.37282000000000004,Dnipropetrovska oblast
Пшениця,Донецька,0.3908,0.3815,0.3881,0.3405,0.3327,Пшениця,0.36672000000000005,Donetska oblast
Пшениця,Житомирська,0.3683,0.3847,0.3795,0.3951,0.3643,Пшениця,0.37838000000000005,Zhytomyrska oblast
Пшениця,Закарпатська,0.4081,0.4231,0.4394,0.4337,0.3213,Пшениця,0.40512,Zakarpatska oblast
Пшениця,Запорізька,0.3553,0.3656,0.3637,0.3745,0.3366,Пшениця,0.35914,Zaporizka oblast
Пшениця,Івано-Франківська,0.3927,0.4124,0.4078,0.4232,0.4144,Пшениця,0.4101,Ivano-Frankivska oblast
Пшениця,Київська,0.3707,0.3771,0.3775,0.3838,0.3912,Пшениця,0.38005999999999995,Kyivska oblast
Пшениця,Кіровоградська,0.3601,0.3975,0.3756,0.376,0.3753,Пшениця,0.37689999999999996,Kirovohradska oblast
Пшениця,Луганська,0.3753,0.3782,0.3766,0.3393,,Пшениця,0.36735,Luhanska oblast
Пшениця,Львівська,0.3665,0.4094,0.3985,0.4284,0.4233,Пшениця,0.4052200000000001,Lvivska oblast
Пшениця,Миколаївська,0.3588,0.3799,0.3914,0.3884,0.3557,Пшениця,0.37484,Mykolaivska oblast
Пшениця,Одеська,0.3701,0.3821,0.3506,0.3615,0.3366,Пшениця,0.36018,Odeska oblast
Пшениця,Полтавська,0.3517,0.3694,0.3608,0.3666,0.3537,Пшениця,0.36044,Poltavska oblast
Пшениця,Рівненська,0.4089,0.4253,0.3935,0.3945,0.4124,Пшениця,0.40692000000000006,Rivnenska oblast
Пшениця,Сумська,0.3806,0.3916,0.3699,0.4115,0.4077,Пшениця,0.39226,Sumska oblast
Пшениця,Тернопільська,0.4085,0.415,0.4015,0.4362,0.4454,Пшениця,0.42132,Ternopilska oblast
Пшениця,Харківська,0.3594,0.3731,0.3655,0.3615,0.3527,Пшениця,0.36244,Kharkivska oblast
Пшениця,Херсонська,0.3345,0.3713,0.3457,0.3333,0.2944,Пшениця,0.33583999999999997,Khersonska oblast
Пшениця,Хмельницька,0.379,0.3911,0.3785,0.4086,0.4077,Пшениця,0.39298,Khmelnytska oblast
Пшениця,Черкаська,0.373,0.3771,0.3682,0.4166,0.3851,Пшениця,0.384,Cherkaska oblast
Пшениця,Чернівецька,0.3389,0.3815,0.3741,0.3871,0.395,Пшениця,0.37532,Chernivetska oblast
Пшениця,Чернігівська,0.3847,0.3984,0.395,0.3921,0.3975,Пшениця,0.39353999999999995,Chernihivska oblast
Пшениця,Вінницька,0.3871,0.4071,0.3814,0.4341,0.4268,Пшениця,0.40729999999999994,Vinnytska oblast
Пшениця,Волинська,0.4117,0.4314,0.4407,0.4599,0.4412,Пшениця,0.43698,Volynska oblast
Пшениця,Дніпропетровська,0.3621,0.3836,0.3746,0.3968,0.3643,Пшениця,0.37628000000000006,Dnipropetrovska oblast
Пшениця,Донецька,0.3935,0.3857,0.3906,0.3658,0.3473,Пшениця,0.37658,Donetska oblast
Пшениця,Житомирська,0.3753,0.3925,0.3854,0.4066,0.3737,Пшениця,0.3867,Zhytomyrska oblast
Пшениця,Закарпатська,0.4159,0.4263,0.4398,0.4373,0.3391,Пшениця,0.41168000000000005,Zakarpatska oblast
Пшениця,Запорізька,0.3588,0.3675,0.3655,0.3824,0.3415,Пшениця,0.36314,Zaporizka oblast
Пшениця,Івано-Франківська,0.3944,0.416,0.4101,0.4244,0.4144,Пшениця,0.41186,Ivano-Frankivska oblast
Пшениця,Київська,0.3736,0.3799,0.3795,0.3884,0.3987,Пшениця,0.38402000000000003,Kyivska oblast
Пшениця,Кіровоградська,0.3627,0.3997,0.3795,0.3803,0.38,Пшениця,0.38044,Kirovohradska oblast
Пшениця,Луганська,0.3769,0.3799,0.3771,0.3588,,Пшениця,0.37317500000000003,Luhanska oblast
Пшениця,Львівська,0.3695,0.4109,0.4011,0.43,0.4263,Пшениця,0.40756,Lvivska oblast
Пшениця,Миколаївська,0.3627,0.3826,0.3954,0.3985,0.3634,Пшениця,0.38052,Mykolaivska oblast
Пшениця,Одеська,0.3747,0.3782,0.3558,0.3707,0.3484,Пшениця,0.36556,Odeska oblast
Пшениця,Полтавська,0.3553,0.3731,0.3626,0.3715,0.3597,Пшениця,0.36444,Poltavska oblast
Пшениця,Рівненська,0.4121,0.4287,0.395,0.3963,0.4164,Пшениця,0.40969999999999995,Rivnenska oblast
Пшениця,Сумська,0.3811,0.3925,0.3699,0.4144,0.4104,Пшениця,0.39366,Sumska oblast
Пшениця,Тернопільська,0.4092,0.4171,0.405,0.4404,0.4559,Пшениця,0.42552,Ternopilska oblast
Пшениця,Харківська,0.3614,0.3766,0.3699,0.3782,0.3625,Пшениця,0.36972,Kharkivska oblast
Пшениця,Херсонська,0.3456,0.3799,0.3539,0.3649,0.2965,Пшениця,0.34816,Khersonska oblast
Пшениця,Хмельницька,0.3806,0.3925,0.3809,0.4106,0.4093,Пшениця,0.39478,Khmelnytska oblast
Пшениця,Черкаська,0.3758,0.3777,0.3715,0.4202,0.3878,Пшениця,0.38659999999999994,Cherkaska oblast
Пшениця,Чернівецька,0.3431,0.3862,0.3795,0.3915,0.4004,Пшениця,0.38014000000000003,Chernivetska oblast
Пшениця,Чернігівська,0.3871,0.4006,0.3966,0.3963,0.3999,Пшениця,0.3961,Chernihivska oblast
Пшениця,Вінницька,0.0317,0.0319,0.0238,0.045,0.0467,Пшениця,0.03582,Vinnytska oblast
Пшениця,Волинська,0.0509,0.0491,0.0523,0.0692,0.0708,Пшениця,0.05846,Volynska oblast
Пшениця,Дніпропетровська,0.0058,0.0084,0.008,0.0253,0.0321,Пшениця,0.01592,Dnipropetrovska oblast
Пшениця,Донецька,0.0039,0.0022,0.0065,0.0117,0.0298,Пшениця,0.01082,Donetska oblast
Пшениця,Житомирська,0.0317,0.0326,0.0231,0.0357,0.0462,Пшениця,0.033859999999999994,Zhytomyrska oblast
Пшениця,Закарпатська,0.0127,0.0232,0.0306,0.0517,0.0401,Пшениця,0.03166,Zakarpatska oblast
Пшениця,Запорізька,0.0016,0.0029,0.0097,0.0202,0.0212,Пшениця,0.01112,Zaporizka oblast
Пшениця,Івано-Франківська,0.0588,0.045,0.0598,0.0648,0.0723,Пшениця,0.06013999999999999,Ivano-Frankivska oblast
Пшениця,Київська,0.0317,0.0299,0.0307,0.0371,0.0477,Пшениця,0.03542,Kyivska oblast
Пшениця,Кіровоградська,0.0153,0.0152,0.0101,0.0325,0.0424,Пшениця,0.0231,Kirovohradska oblast
Пшениця,Луганська,0.0,0.0049,0.0012,0.0,,Пшениця,0.0015249999999999999,Luhanska oblast
Пшениця,Львівська,0.0453,0.0455,0.0349,0.0466,0.057,Пшениця,0.04586,Lvivska oblast
Пшениця,Миколаївська,0.0042,0.0014,0.0,0.0223,0.0251,Пшениця,0.010600000000000002,Mykolaivska oblast
Пшениця,Одеська,0.0005,0.0,0.003,0.0209,0.027,Пшениця,0.010280000000000001,Odeska oblast
Пшениця,Полтавська,0.0097,0.0104,0.0088,0.0322,0.0406,Пшениця,0.02034,Poltavska oblast
Пшениця,Рівненська,0.0426,0.0408,0.0455,0.065,0.0627,Пшениця,0.05132000000000001,Rivnenska oblast
Пшениця,Сумська,0.0241,0.0213,0.0179,0.0372,0.0413,Пшениця,0.028359999999999996,Sumska oblast
Пшениця,Тернопільська,0.0426,0.0321,0.0308,0.0522,0.0627,Пшениця,0.044079999999999994,Ternopilska oblast
Пшениця,Харківська,0.0087,0.0081,0.0037,0.0246,0.034,Пшениця,0.01582,Kharkivska oblast
Пшениця,Херсонська,0.0063,0.004,0.01,0.0058,0.027,Пшениця,0.01062,Khersonska oblast
Пшениця,Хмельницька,0.038,0.0268,0.025,0.0507,0.0541,Пшениця,0.038919999999999996,Khmelnytska oblast
Пшениця,Черкаська,0.0277,0.0276,0.0208,0.042,0.0447,Пшениця,0.03256,Cherkaska oblast
Пшениця,Чернівецька,0.0385,0.0261,0.0305,0.0507,0.0526,Пшениця,0.03968000000000001,Chernivetska oblast
Пшениця,Чернігівська,0.0241,0.0241,0.0311,0.0379,0.051,Пшениця,0.033639999999999996,Chernihivska oblast
Пшениця,Вінницька,0.035,0.0344,0.028,0.0471,0.0485,Пшениця,0.0386,Vinnytska oblast
Пшениця,Волинська,0.0544,0.0508,0.0533,0.0705,0.0716,Пшениця,0.06011999999999999,Volynska oblast
Пшениця,Дніпропетровська,0.0093,0.0109,0.0102,0.0285,0.0338,Пшениця,0.01854,Dnipropetrovska oblast
Пшениця,Донецька,0.0061,0.0055,0.0091,0.0219,0.0337,Пшениця,0.015260000000000001,Donetska oblast
Пшениця,Житомирська,0.038,0.0397,0.0275,0.0426,0.0504,Пшениця,0.039639999999999995,Zhytomyrska oblast
Пшениця,Закарпатська,0.0178,0.0268,0.0324,0.0638,0.0404,Пшениця,0.036239999999999994,Zakarpatska oblast
Пшениця,Запорізька,0.0035,0.0044,0.0112,0.024,0.0225,Пшениця,0.013119999999999998,Zaporizka oblast
Пшениця,Івано-Франківська,0.0605,0.0469,0.0619,0.066,0.0726,Пшениця,0.06158,Ivano-Frankivska oblast
Пшениця,Київська,0.035,0.0329,0.033,0.0396,0.0503,Пшениця,0.038160000000000006,Kyivska oblast
Пшениця,Кіровоградська,0.0177,0.0176,0.0132,0.036,0.0447,Пшениця,0.025839999999999995,Kirovohradska oblast
Пшениця,Луганська,0.0016,0.0065,0.0021,0.0032,,Пшениця,0.0033499999999999997,Luhanska oblast
Пшениця,Львівська,0.0475,0.0473,0.0372,0.0476,0.0578,Пшениця,0.04748,Lvivska oblast
Пшениця,Миколаївська,0.0082,0.0036,0.0038,0.0267,0.0281,Пшениця,0.01408,Mykolaivska oblast
Пшениця,Одеська,0.0053,0.0018,0.0067,0.0254,0.0315,Пшениця,0.01414,Odeska oblast
Пшениця,Полтавська,0.0128,0.0126,0.0105,0.0346,0.043,Пшениця,0.0227,Poltavska oblast
Пшениця,Рівненська,0.0459,0.0431,0.0472,0.0667,0.0641,Пшениця,0.05339999999999999,Rivnenska oblast
Пшениця,Сумська,0.0259,0.0228,0.0191,0.0393,0.0421,Пшениця,0.02984,Sumska oblast
Пшениця,Тернопільська,0.0446,0.0377,0.0337,0.0546,0.0693,Пшениця,0.04798,Ternopilska oblast
Пшениця,Харківська,0.0109,0.0104,0.0067,0.032,0.0373,Пшениця,0.019459999999999998,Kharkivska oblast
Пшениця,Херсонська,0.0124,0.0082,0.0143,0.0247,0.0283,Пшениця,0.017580000000000002,Khersonska oblast
Пшениця,Хмельницька,0.0406,0.0286,0.0271,0.0524,0.0549,Пшениця,0.04072,Khmelnytska oblast
Пшениця,Черкаська,0.0301,0.0293,0.0228,0.0443,0.0457,Пшениця,0.03444,Cherkaska oblast
Пшениця,Чернівецька,0.0433,0.0291,0.0347,0.0533,0.0543,Пшениця,0.04294,Chernivetska oblast
Пшениця,Чернігівська,0.0274,0.0266,0.0335,0.0415,0.0527,Пшениця,0.03634,Chernihivska oblast
Кукурудза,Вінницька,0.269,0.2763,0.2481,0.3117,0.2722,Кукурудза,0.27546,Vinnytska oblast
Кукурудза,Волинська,0.116,0.1539,0.1626,0.1961,0.1479,Кукурудза,0.15530000000000002,Volynska oblast
Кукурудза,Дніпропетровська,0.1573,0.1688,0.1449,0.1628,0.1271,Кукурудза,0.15217999999999998,Dnipropetrovska oblast
Кукурудза,Донецька,0.0246,0.0384,0.0431,0.0,,Кукурудза,0.026525,Donetska oblast
Кукурудза,Житомирська,0.2171,0.2228,0.2315,0.2243,0.2245,Кукурудза,0.22403999999999996,Zhytomyrska oblast
Кукурудза,Закарпатська,0.0432,0.0262,0.0356,0.0255,0.0337,Кукурудза,0.03284,Zakarpatska oblast
Кукурудза,Запорізька,0.0726,0.0835,0.0946,0.0058,0.0,Кукурудза,0.05130000000000001,Zaporizka oblast
Кукурудза,Івано-Франківська,0.0863,0.1038,0.1316,0.1236,0.1184,Кукурудза,0.11273999999999999,Ivano-Frankivska oblast
Кукурудза,Київська,0.2545,0.2623,0.2699,0.2691,0.2228,Кукурудза,0.25572,Kyivska oblast
Кукурудза,Кіровоградська,0.2278,0.2497,0.2099,0.2167,0.1771,Кукурудза,0.21624,Kirovohradska oblast
Кукурудза,Луганська,0.0687,0.0662,0.0691,,,Кукурудза,0.06799999999999999,Luhanska oblast
Кукурудза,Львівська,0.1127,0.136,0.1677,0.1779,0.1627,Кукурудза,0.15140000000000003,Lvivska oblast
Кукурудза,Миколаївська,0.0993,0.0787,0.0946,0.1039,0.0572,Кукурудза,0.08674,Mykolaivska oblast
Кукурудза,Одеська,0.1232,0.1368,0.1518,0.1296,0.0989,Кукурудза,0.12806,Odeska oblast
Кукурудза,Полтавська,0.2799,0.2811,0.2691,0.2631,0.2288,Кукурудза,0.2644,Poltavska oblast
Кукурудза,Рівненська,0.1436,0.1652,0.1863,0.1686,0.1565,Кукурудза,0.16404,Rivnenska oblast
Кукурудза,Сумська,0.2892,0.2879,0.2748,0.2902,0.2391,Кукурудза,0.27624,Sumska oblast
Кукурудза,Тернопільська,0.1756,0.2082,0.2216,0.2361,0.2061,Кукурудза,0.20952,Ternopilska oblast
Кукурудза,Харківська,0.1932,0.1927,0.1819,0.1574,0.1402,Кукурудза,0.17308,Kharkivska oblast
Кукурудза,Херсонська,0.0863,0.1345,0.1135,,,Кукурудза,0.11143333333333333,Khersonska oblast
Кукурудза,Хмельницька,0.2072,0.2542,0.2574,0.2521,0.2362,Кукурудза,0.24142000000000002,Khmelnytska oblast
Кукурудза,Черкаська,0.261,0.2673,0.2428,0.2893,0.2492,Кукурудза,0.26192000000000004,Cherkaska oblast
Кукурудза,Чернівецька,0.0133,0.0295,0.0563,0.0729,0.0375,Кукурудза,0.0419,Chernivetska oblast
Кукурудза,Чернігівська,0.3102,0.3187,0.308,0.2872,0.3697,Кукурудза,0.31876,Chernihivska oblast
Кукурудза,Вінницька,0.9585,0.9432,0.9238,0.9869,0.9786,Кукурудза,0.9581999999999999,Vinnytska oblast
Кукурудза,Волинська,0.7957,0.7818,0.7942,0.8583,0.8249,Кукурудза,0.81098,Volynska oblast
Кукурудза,Дніпропетровська,0.8816,0.8606,0.8382,0.8934,0.8812,Кукурудза,0.8709999999999999,Dnipropetrovska oblast
Кукурудза,Донецька,0.7484,0.7329,0.6817,0.6015,,Кукурудза,0.6911250000000001,Donetska oblast
Кукурудза,Житомирська,0.9212,0.9093,0.8971,0.9326,0.9424,Кукурудза,0.92052,Zhytomyrska oblast
Кукурудза,Закарпатська,0.7522,0.6883,0.7334,0.7401,0.672,Кукурудза,0.7172000000000001,Zakarpatska oblast
Кукурудза,Запорізька,0.7609,0.7423,0.7506,0.6747,0.654,Кукурудза,0.7165,Zaporizka oblast
Кукурудза,Івано-Франківська,0.7617,0.7634,0.8057,0.8215,0.8382,Кукурудза,0.7981,Ivano-Frankivska oblast
Кукурудза,Київська,0.9605,0.9474,0.9338,0.9898,0.966,Кукурудза,0.9595,Kyivska oblast
Кукурудза,Кіровоградська,0.93,0.9113,0.8907,0.9549,0.9448,Кукурудза,0.92634,Kirovohradska oblast
Кукурудза,Луганська,0.7707,0.7441,0.7261,,,Кукурудза,0.7469666666666667,Luhanska oblast
Кукурудза,Львівська,0.8351,0.8472,0.8598,0.9085,0.8917,Кукурудза,0.86846,Lvivska oblast
Кукурудза,Миколаївська,0.7703,0.7707,0.7642,0.7916,0.7774,Кукурудза,0.77484,Mykolaivska oblast
Кукурудза,Одеська,0.7828,0.773,0.7641,0.8312,0.8284,Кукурудза,0.7958999999999999,Odeska oblast
Кукурудза,Полтавська,0.9923,0.9755,0.9548,0.9986,0.9927,Кукурудза,0.98278,Poltavska oblast
Кукурудза,Рівненська,0.8593,0.8557,0.8688,0.8862,0.8705,Кукурудза,0.8681000000000001,Rivnenska oblast
Кукурудза,Сумська,0.9914,0.9847,0.9722,0.9859,0.9803,Кукурудза,0.9828999999999999,Sumska oblast
Кукурудза,Тернопільська,0.8688,0.8793,0.8876,0.9122,0.9045,Кукурудза,0.8904799999999999,Ternopilska oblast
Кукурудза,Харківська,0.9109,0.8916,0.8693,0.8917,0.9095,Кукурудза,0.8946000000000002,Kharkivska oblast
Кукурудза,Херсонська,0.7544,0.7368,0.7463,,,Кукурудза,0.7458333333333332,Khersonska oblast
Кукурудза,Хмельницька,0.9301,0.9506,0.9244,0.9851,0.9482,Кукурудза,0.9476800000000001,Khmelnytska oblast
Кукурудза,Черкаська,0.966,0.9592,0.9333,0.9889,0.9853,Кукурудза,0.96654,Cherkaska oblast
